City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,vertientes,21.2594,-78.1464,302.49,42,100,3.55,CU,1682610042.395013
174,baoding,38.8511,115.4903,287.22,89,100,1.72,CN,1682610042.4338784
175,polyany,54.7122,39.8231,289.03,62,58,1.87,RU,1682610042.477309
176,vorkuta,67.5,64.0,266.77,89,67,6.87,RU,1682610042.516357
177,al qusiyah,27.4402,30.8184,306.3,14,0,4.98,EG,1682610042.548749
178,lesosibirsk,58.2358,92.4828,274.25,99,100,2.71,RU,1682610042.5968614
179,petropavlovsk-kamchatsky,53.0452,158.6483,275.48,52,0,1.0,RU,1682610042.6469126
180,birjand,32.8663,59.2211,295.41,17,0,2.06,IR,1682610042.6870537
181,pudozh,61.8099,36.5345,284.66,68,96,3.3,RU,1682610042.7276945
182,nouna,12.7333,-3.8667,313.36,4,66,2.33,BF,1682610042.8286452
183,kristiansund,63.1115,7.732,278.51,75,75,6.17,NO,1682610042.879623
184,mugia,43.1041,-9.2179,295.88,75,100,3.96,ES,1682610042.925161
185,chilca,-12.5211,-76.7372,296.82,77,84,3.27,PE,1682610042.964732
186,tocopilla,-22.092,-70.1979,295.82,66,16,5.04,CL,1682610043.076222
187,chinsali,-10.5414,32.0816,290.67,87,9,2.35,ZM,1682610043.1158502
188,gaoual,11.75,-13.2,314.39,13,98,2.12,GN,1682610043.1621904
189,nichinan,31.6,131.3667,285.97,72,19,1.63,JP,1682610043.2621715
190,isangel,-19.55,169.2667,298.21,88,75,2.06,VU,1682610043.306386
191,ghanzi,-21.5667,21.7833,301.31,26,94,0.37,BW,1682610043.3523018
192,arteche,12.2645,125.4048,299.26,88,71,2.22,PH,1682610043.4359386
193,sanctuary point,-35.1114,150.629,290.79,89,2,3.24,AU,1682610043.480162
194,brookings,44.3114,-96.7984,289.51,50,20,7.2,US,1682610043.6301394
195,kangding,30.0513,101.9603,282.21,97,97,2.13,CN,1682610043.6888332
196,okhotsk,59.3833,143.3,269.97,91,91,4.29,RU,1682610043.7319465
197,mitu,1.1983,-70.1733,300.08,87,27,0.29,CO,1682610043.77673
198,villamontes,-21.25,-63.5,295.84,78,75,0.0,BO,1682610043.826743
199,toliara,-23.35,43.6667,296.6,73,0,7.29,MG,1682610043.8726788
200,arraial do cabo,-22.9661,-42.0278,300.13,78,0,5.14,BR,1682610043.917209
201,boende,-0.2167,20.8667,301.21,62,83,0.94,CD,1682610043.9472406
202,touros,-5.1989,-35.4608,299.55,85,97,3.34,BR,1682610043.997579
203,ashchysay,43.5542,68.8889,289.38,23,0,8.87,KZ,1682610044.0269718
204,yinchuan,38.4681,106.2731,285.54,27,92,6.42,CN,1682610044.077594
205,ust-nera,64.5667,143.2,263.22,91,100,0.7,RU,1682610044.1072094
206,lata,40.1629,-8.3327,304.22,45,84,4.26,PT,1682610044.1637352
207,valparaiso,-33.0393,-71.6273,289.26,86,100,1.54,CL,1682610044.202666
208,igbor,7.4527,8.6098,305.43,46,93,5.29,NG,1682610044.2355762
209,yarmouth,41.7057,-70.2286,287.02,76,75,3.13,US,1682610044.2890265
210,abbeville,50.1,1.8333,291.07,73,100,4.61,FR,1682610044.408175
211,tazacorte,28.629,-17.9293,297.12,72,75,2.68,ES,1682610044.4483674
212,san jose de jachal,-30.2406,-68.7469,297.95,23,0,3.17,AR,1682610044.488405
213,kiama,-34.6833,150.8667,290.93,89,9,4.45,AU,1682610044.5522916
214,linqiong,30.4159,103.4609,295.05,77,100,2.78,CN,1682610044.5887551
215,la libertad,-2.2333,-80.9,300.64,74,81,1.82,EC,1682610044.6331162
216,ushuaia,-54.8,-68.3,280.94,87,75,8.23,AR,1682610044.7115803
217,sinabang,2.4803,96.3801,299.65,85,100,2.37,ID,1682610044.7530165
218,badger,64.8,-147.5333,273.78,80,75,0.0,US,1682610044.7982714
219,khorramabad,33.4878,48.3558,295.94,28,20,3.09,IR,1682610044.8402424
220,utrik,11.2278,169.8474,299.7,83,54,8.01,MH,1682610044.8888407
221,urucara,-2.5364,-57.76,304.73,56,99,1.94,BR,1682610044.9655898
222,nouadhibou,20.931,-17.0347,296.14,64,0,8.23,MR,1682610045.0150378
223,ahtari,62.554,24.0619,278.74,83,100,1.3,FI,1682610045.0612373
224,eyl,7.9803,49.8164,302.61,73,42,4.75,SO,1682610045.1082306
